name,brand,code,color,repeat,roll size,composiotion,care code,pattern book,image
Fuchsia Wallpaper,Colefax and Fowler,W7018-06,Tomato/Green,59cm approx,68.5cm x 10m,100% Non Woven,20,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7018-06_l.jpg
Fuchsia Wallpaper,Colefax and Fowler,W7018-03,Pink/Green,59cm approx,68.5cm x 10m,100% Non Woven,20,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7018-03_l.jpg
Delancey Wallpaper,Colefax and Fowler,07128/07,Celadon,61cm approx (Half drop),52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/07128-07_l.jpg
Bellflower Wallpaper,Colefax and Fowler,07127/07,Pink/Green,61cm approx (Half drop),52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/07127-07_l.jpg
Roussillon Wallpaper,Colefax and Fowler,07971/04,Aqua,38cm approx,68.5cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/07971-04_l.jpg
Messina Wallpaper,Colefax and Fowler,07132/05,Blue/Green,52cm approx,52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/07132-05_l.jpg
Liliana Wallpaper,Colefax and Fowler,W7019-04,Old Blue,31cm approx,52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7019-04_l.jpg
Messina Wallpaper,Colefax and Fowler,07132/01,Aqua,52cm approx,52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/07132-01_l.jpg
Liliana Wallpaper,Colefax and Fowler,W7019-02,Cream,31cm approx,52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7019-02_l.jpg
Fuchsia Wallpaper,Colefax and Fowler,W7018-02,Grey/Green,59cm approx,68.5cm x 10m,100% Non Woven,20,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7018-02_l.jpg
Fuchsia Wallpaper,Colefax and Fowler,W7018-05,Old Blue,59cm approx,68.5cm x 10m,100% Non Woven,20,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7018-05_l.jpg
Delancey Wallpaper,Colefax and Fowler,07128/06,Pale Blue,61cm approx (Half drop),52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/07128-06_l.jpg
Fuchsia Wallpaper,Colefax and Fowler,W7018-01,Blue/Leaf,59cm approx,68.5cm x 10m,100% Non Woven,20,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7018-01_l.jpg
Delancey Wallpaper,Colefax and Fowler,07128/03,Blue,61cm approx (Half drop),52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/07128-03_l.jpg
Ashdown Wallpaper,Colefax and Fowler,W7021-01,Old Blue,97cm approx,68.5cm x 10m,100% Non Woven,20,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7021-01_l.jpg
Bellflower Wallpaper,Colefax and Fowler,07127/03,Aqua,61cm approx (Half drop),52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/07127-03_l.jpg
Bellflower Wallpaper,Colefax and Fowler,07127/06,Navy,61cm approx (Half drop),52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/07127-06_l.jpg
Bellflower Wallpaper,Colefax and Fowler,07127/01,Old Blue,61cm approx (Half drop),52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/07127-01_l.jpg
