director,genre,stars,title,year
Taika Waititi,,"Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi, Sam Rockwell",Jojo Rabbit,2019
Anthony Harvey,,"Peter O'Toole, Katharine Hepburn, Anthony Hopkins, John Castle, Nigel Terry",The Lion in Winter,1968
Bob Clark,,"Peter Billingsley, Melinda Dillon, Darren McGavin, Scott Schwartz, Jean Shepherd",A Christmas Story,1983
Ericson Core,,"Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer, Adrien Dorval",Togo,2019
Hun Jang,,"Song Kang-ho, Thomas Kretschmann, Hae-Jin Yoo, Ryu Jun-Yeol, Hyuk-kwon Park",A Taxi Driver,2017
Kore-eda Hirokazu,,"Lily Franky, Sakura Ando, Kirin Kiki, Mayu Matsuoka, Jyo Kairi",Shoplifters,2018
Norman Jewison,,"Sidney Poitier, Rod Steiger, Warren Oates, Lee Grant, Larry Gates",In the Heat of the Night,1967
Lee Tamahori,,"Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell, Julian Arahanga, Taungaroa Emile",Once Were Warriors,1994
Stanley Kubrick,,"Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen, Ted de Corsia",The Killing,1956
Franklin J. Schaffner,,"George C. Scott, Karl Malden, Stephen Young, Michael Strong, Carey Loftin",Patton,1970
Hal Ashby,,"Ruth Gordon, Bud Cort, Vivian Pickles, Cyril Cusack, Charles Tyner",Harold and Maude,1971
Michel Hazanavicius,,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell, Penelope Ann Miller",The Artist,2011
Krzysztof Kieslowski,,"Juliette Binoche, Zbigniew Zamachowski, Julie Delpy, Benoît Régent, Florence Pernel",Three Colors: Blue,1993
Clint Eastwood,,"Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryô Kase, Shidô Nakamura",Letters from Iwo Jima,2006
Lars von Trier,,"Björk, Catherine Deneuve, David Morse, Peter Stormare, Joel Grey",Dancer in the Dark,2000
"Merian C. Cooper, Ernest B. Schoedsack",,"Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher, Sam Hardy",King Kong,1933
Yimou Zhang,,"Jet Li, Tony Leung Chiu-wai, Maggie Cheung, Ziyi Zhang, Daoming Chen",Hero,2002
Matt Reeves,,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell, Paul Dano",The Batman,2022
Amit Ravindernath Sharma,,"Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra, Surekha Sikri",Badhaai Ho,2018
R. Balki,,"Akshay Kumar, Radhika Apte, Sonam Kapoor, Jyoti Subhash, Urmila Mahanta",Pad Man,2018
"Mathur Goswami, Neeraj Pandey",,"Sushant Singh Rajput, Kiara Advani, Anupam Kher, Disha Patani, Bhoomika Chawla",M.S. Dhoni: The Untold Story,2016
Neeraj Pandey,,"Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu, Anupam Kher",Baby,2015
Raja Menon,,"Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi, Inaamulhaq",Airlift,2016
Anurag Kashyap,,"Abhay Deol, Mahie Gill, Kalki Koechlin, Dibyendu Bhattacharya, Manoj Bakshi",Dev.D,2009
Jean Renoir,,"Marcel Dalio, Nora Gregor, Paulette Dubost, Mila Parély, Odette Talazac",The Rules of the Game,1939
Danis Tanovic,,"Branko Djuric, Rene Bitorajac, Filip Sovagovic, Georges Siatidis, Serge-Henri Valcke",No Man's Land,2001
Preston Sturges,,"Joel McCrea, Veronica Lake, Robert Warwick, William Demarest, Franklin Pangborn",Sullivan's Travels,1941
Fritz Lang,,"Glenn Ford, Gloria Grahame, Jocelyn Brando, Alexander Scourby, Lee Marvin",The Big Heat,1953
"Jean Cocteau, René Clément",,"Jean Marais, Josette Day, Mila Parély, Nane Germon, Michel Auclair",Beauty and the Beast,1946
Jean-Marc Vallée,,"Michel Côté, Marc-André Grondin, Danielle Proulx, Émile Vallée, Pierre-Luc Brillant",C.R.A.Z.Y.,2005
Ingmar Bergman,,"Harriet Andersson, Gunnar Björnstrand, Max von Sydow, Lars Passgård",Through a Glass Darkly,1961
Robert De Niro,,"Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra, Taral Hicks",A Bronx Tale,1993
Brian De Palma,,"Kevin Costner, Sean Connery, Robert De Niro, Charles Martin Smith, Andy Garcia",The Untouchables,1987
John Singleton,,"Cuba Gooding Jr., Laurence Fishburne, Hudhail Al-Amir, Lloyd Avery II, Angela Bassett",Boyz n the Hood,1991
Robert Zemeckis,,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Tom Wilson, Elisabeth Shue",Back to the Future Part II,1989
Rob Reiner,,"James Caan, Kathy Bates, Richard Farnsworth, Frances Sternhagen, Lauren Bacall",Misery,1990
Sam Mendes,,"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench, Ralph Fiennes",Skyfall,2012
Edward Zwick,,"Tom Cruise, Ken Watanabe, Billy Connolly, William Atherton, Chad Lindberg",The Last Samurai,2003
Ridley Scott,,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin, Lymari Nadal",American Gangster,2007
David Fincher,,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond, Faune Chambers Watkins",The Curious Case of Benjamin Button,2008
Kenneth Lonergan,,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges, Ivy O'Brien",Manchester by the Sea,2016
Alejandro Jodorowsky,,"Alejandro Jodorowsky, Horacio Salinas, Zamira Saunders, Juan Ferrara, Adriana Page",The Holy Mountain,1973
Pierre Morel,,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser, Jon Gries",Taken,2008
Boaz Yakin,,"Denzel Washington, Will Patton, Wood Harris, Ryan Hurst, Donald Faison",Remember the Titans,2000
Peter Jackson,,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott, Graham McTavish",The Hobbit: The Desolation of Smaug,2013
Robert Zemeckis,,"Tom Hanks, Helen Hunt, Paul Sanchez, Lari White, Leonid Citer",Cast Away,2000
"Anthony Russo, Joe Russo",,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie",Captain America: Civil War,2016
Bob Fosse,,"Roy Scheider, Jessica Lange, Ann Reinking, Leland Palmer, Cliff Gorman",All That Jazz,1979
Lars von Trier,,"Emily Watson, Stellan Skarsgård, Katrin Cartlidge, Jean-Marc Barr, Adrian Rawlins",Breaking the Waves,1996
"DK Welchman, Hugh Welchman",,"Douglas Booth, Jerome Flynn, Robert Gulaczyk, Helen McCrory, Josh Burdett",Loving Vincent,2017
Bong Joon Ho,,"Hye-ja Kim, Won Bin, Jin Goo, Je-mun Yun, Mi-seon Jeon",Mother,2009
Elia Kazan,,"James Dean, Raymond Massey, Julie Harris, Burl Ives, Richard Davalos",East of Eden,1955
Roland Joffé,,"Sam Waterston, Haing S. Ngor, John Malkovich, Julian Sands, Craig T. Nelson",The Killing Fields,1984
George Cukor,,"Charles Boyer, Ingrid Bergman, Joseph Cotten, May Whitty, Angela Lansbury",Gaslight,1944
Robert Benton,,"Dustin Hoffman, Meryl Streep, Jane Alexander, Justin Henry, Howard Duff",Kramer vs. Kramer,1979
Tod Browning,,"Wallace Ford, Leila Hyams, Olga Baclanova, Roscoe Ates, Henry Victor",Freaks,1932
Tim Burton,,"Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette, Jeffrey Jones",Ed Wood,1994
John Carney,,"Glen Hansard, Markéta Irglová, Hugh Walsh, Gerard Hendrick, Alaistair Foley",Once,2007
Philip Kaufman,,"Sam Shepard, Scott Glenn, Ed Harris, Dennis Quaid, Fred Ward",The Right Stuff,1983
Joe Johnston,,"Jake Gyllenhaal, Chris Cooper, Laura Dern, Chris Owen, William Lee Scott",October Sky,1999
George A. Romero,,"Duane Jones, Judith O'Dea, Karl Hardman, Marilyn Eastman, Keith Wayne",Night of the Living Dead,1968
Michael Mann,,"Russell Crowe, Al Pacino, Christopher Plummer, Diane Venora, Philip Baker Hall",The Insider,1999
Giuseppe Tornatore,,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks, Donald Sutherland, Philip Jackson",The Best Offer,2013
Alan Parker,,"Gene Hackman, Willem Dafoe, Frances McDormand, Brad Dourif, R. Lee Ermey",Mississippi Burning,1988
Yash Chopra,,"Shah Rukh Khan, Preity G Zinta, Rani Mukerji, Kirron Kher, Divya Dutta",Veer-Zaara,2004
Claude Barras,,"Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud, Michel Vuillermoz, Raul Ribera",My Life as a Zucchini,2016
Thomas Jahn,,"Til Schweiger, Jan Josef Liefers, Thierry van Werveke, Moritz Bleibtreu, Huub Stapel",Knockin' on Heaven's Door,1997
"Sam Wood, Edmund Goulding",,"Groucho Marx, Chico Marx, Harpo Marx, Kitty Carlisle, Allan Jones",A Night at the Opera,1935
Woody Allen,,"Martin Landau, Woody Allen, Bill Bernstein, Claire Bloom, Stephanie Roth Haberle",Crimes and Misdemeanors,1989
Michelangelo Antonioni,,"Gabriele Ferzetti, Monica Vitti, Lea Massari, Dominique Blanchar, Renzo Ricci",L'Avventura,1960
Satoshi Kon,,"Miyoko Shôji, Shôzô Îzuka, Mami Koyama, Fumiko Orikasa, Shôko Tsuda",Millennium Actress,2001
Jean-Luc Godard,,"Anna Karina, Sady Rebbot, André S. Labarthe, Guylaine Schlumberger, Gérard Hoffman",Vivre Sa Vie,1962
Nuri Bilge Ceylan,,"Muhammet Uzuner, Yilmaz Erdogan, Taner Birsel, Ahmet Mümtaz Taylan, Firat Tanis",Once Upon a Time in Anatolia,2011
Jacques Demy,,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel, Ellen Farner",The Umbrellas of Cherbourg,1964
John Woo,,"Chow Yun-Fat, Danny Lee, Sally Yeh, Kong Chu, Kenneth Tsang",The Killer,1989
Satoshi Kon,,"Tôru Emori, Yoshiaki Umegaki, Aya Okamoto, Shôzô Îzuka, Seizô Katô",Tokyo Godfathers,2003
Kore-eda Hirokazu,,"Masaharu Fukuyama, Machiko Ono, Yôko Maki, Lily Franky, Keita Ninomiya","Like Father, Like Son",2013
Christophe Barratier,,"Gérard Jugnot, François Berléand, Jean-Baptiste Maunier, Kad Merad, Jean-Paul Bonnaire",The Chorus,2004
"Michael Radford, Massimo Troisi",,"Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta, Renato Scarpa, Linda Moretti",The Postman,1994
Luis Buñuel,,"Fernando Rey, Delphine Seyrig, Paul Frankeur, Bulle Ogier, Stéphane Audran",The Discreet Charm of the Bourgeoisie,1972
Jack Clayton,,"Deborah Kerr, Peter Wyngarde, Megs Jenkins, Michael Redgrave, Martin Stephens",The Innocents,1961
James L. Brooks,,"Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr., Skeet Ulrich",As Good as It Gets,1997
Mark Herman,,"Asa Butterfield, David Thewlis, Rupert Friend, Zac Mattoon O'Brien, Domonkos Németh",The Boy in the Striped Pajamas,2008
Terence Young,,"Audrey Hepburn, Alan Arkin, Richard Crenna, Efrem Zimbalist Jr., Jack Weston",Wait Until Dark,1967
Michael Mann,,"Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig, Jodhi May",The Last of the Mohicans,1992
Alejandro G. Iñárritu,,"Michael Keaton, Zach Galifianakis, Edward Norton, Andrea Riseborough, Emma Stone",Birdman or (The Unexpected Virtue of Ignorance),2014
Ben Affleck,,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin, Victor Garber",Argo,2012
Alfonso Cuarón,,"Maribel Verdú, Gael García Bernal, Daniel Giménez Cacho, Ana López Mercado, Diego Luna",And Your Mother Too,2001
Matthew Vaughn,,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon, Laurence Belcher",X-Men: First Class,2011
David Fincher,,"Michael Douglas, Deborah Kara Unger, Sean Penn, James Rebhorn, Peter Donat",The Game,1997
Paul Haggis,,"Don Cheadle, Sandra Bullock, Thandiwe Newton, Karina Arroyave, Dato Bakhtadze",Crash,2004
Marc Webb,,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, Chloë Grace Moretz, Matthew Gray Gubler",500 Days of Summer,2009
"Nathan Greno, Byron Howard",,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey",Tangled,2010
John Boorman,,"Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox, Ed Ramey",Deliverance,1972
John Sturges,,"Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach, Horst Buchholz",The Magnificent Seven,1960
Henry Selick,,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders, Dawn French",Coraline,2009
David Yates,,"Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy, Richard Griffiths",Harry Potter and the Deathly Hallows: Part 1,2010
Gregory Hoblit,,"Richard Gere, Laura Linney, Edward Norton, John Mahoney, Alfre Woodard",Primal Fear,1996
"Phil Lord, Christopher Miller",,"Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett, Craig Berry",The Lego Movie,2014
Ang Lee,,"Jake Gyllenhaal, Heath Ledger, Michelle Williams, Randy Quaid, Valerie Planche",Brokeback Mountain,2005
Robert Redford,,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton, M. Emmet Walsh",Ordinary People,1980
Shane Meadows,,"Thomas Turgoose, Stephen Graham, Jo Hartley, Andrew Shim, Vicky McClure",This Is England,2006
Guy Hamilton,,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton, Tania Mallet",Goldfinger,1964
Stephen Chow,,"Stephen Chow, Wah Yuen, Qiu Yuen, Siu-Lung Leung, Xiaogang Feng",Kung Fu Hustle,2004
Bernardo Bertolucci,,"John Lone, Joan Chen, Peter O'Toole, Ruocheng Ying, Victor Wong",The Last Emperor,1987
William Friedkin,,"Gene Hackman, Roy Scheider, Fernando Rey, Tony Lo Bianco, Marcel Bozzuffi",The French Connection,1971
Alfonso Cuarón,,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta, Marco Graf",Roma,2018
Nicholas Meyer,,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, Walter Koenig",Star Trek II: The Wrath of Khan,1982
Kenneth Branagh,,"Kenneth Branagh, Julie Christie, Derek Jacobi, Kate Winslet, Rizz Abbasi",Hamlet,1996
Satoshi Kon,,"Megumi Hayashibara, Tôru Emori, Katsunosuke Hori, Tôru Furuya, Kôichi Yamadera",Paprika,2006
Jonathan Demme,,"Tom Hanks, Denzel Washington, Roberta Maxwell, Buzz Kilman, Karen Finley",Philadelphia,1993
Jean-Jacques Annaud,,"Sean Connery, Christian Slater, Helmut Qualtinger, Elya Baskin, Michael Lonsdale",The Name of the Rose,1986
Trey Parker,,"Trey Parker, Matt Stone, Mary Kay Bergman, Isaac Hayes, Jesse Brant Howell","South Park: Bigger, Longer & Uncut",1999
Jon Avnet,,"Kathy Bates, Jessica Tandy, Mary Stuart Masterson, Mary-Louise Parker, Cicely Tyson",Fried Green Tomatoes,1991
Rob Reiner,,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, John Mahoney",Flipped,2010
Tetsuya Nakashima,,"Takako Matsu, Yoshino Kimura, Masaki Okada, Yukito Nishii, Kaoru Fujiwara",Confessions,2010
James Foley,,"Al Pacino, Jack Lemmon, Alec Baldwin, Alan Arkin, Ed Harris",Glengarry Glen Ross,1992
Jim Jarmusch,,"Winona Ryder, Gena Rowlands, Lisanne Falk, Alan Randolph Scott, Anthony Portillo",Night on Earth,1991
Asghar Farhadi,,"Taraneh Alidoosti, Shahab Hosseini, Mojtaba Pirzadeh, Mina Sadati, Babak Karimi",The Salesman,2016
Mamoru Hosoda,,"Riisa Naka, Takuya Ishida, Mitsutaka Itakura, Ayami Kakiuchi, Mitsuki Tanimura",The Girl Who Leapt Through Time,2006
"Howard Hawks, Richard Rosson",,"Paul Muni, Ann Dvorak, Karen Morley, Osgood Perkins, C. Henry Gordon",Scarface,1932
J. Lee Thompson,,"Gregory Peck, Robert Mitchum, Polly Bergen, Lori Martin, Martin Balsam",Cape Fear,1962
Walter Salles,,"Gael García Bernal, Rodrigo de la Serna, Mía Maestro, Mercedes Morán, Jean Pierre Noher",The Motorcycle Diaries,2004
Edward Dmytryk,,"Humphrey Bogart, José Ferrer, Van Johnson, Fred MacMurray, Robert Francis",The Caine Mutiny,1954
Hiromasa Yonebayashi,,"Sara Takatsuki, Kasumi Arimura, Nanako Matsushima, Susumu Terajima, Toshie Negishi",When Marnie Was There,2014
Mark Osborne,,"Jeff Bridges, Mackenzie Foy, Rachel McAdams, Marion Cotillard, Riley Osborne",The Little Prince,2015
George Sluizer,,"Bernard-Pierre Donnadieu, Gene Bervoets, Johanna ter Steege, Gwen Eckhaus, Bernadette Le Saché",The Vanishing,1988
Paolo Genovese,,"Giuseppe Battiston, Anna Foglietta, Marco Giallini, Edoardo Leo, Valerio Mastandrea",Perfect Strangers,2016
Don Siegel,,"Kevin McCarthy, Dana Wynter, Larry Gates, King Donovan, Carolyn Jones",Invasion of the Body Snatchers,1956
John Woo,,"Chow Yun-Fat, Tony Leung Chiu-wai, Teresa Mo, Philip Chan, Phillip Chung-Fung Kwok",Hard Boiled,1992
Kar-Wai Wong,,"Leslie Cheung, Tony Leung Chiu-wai, Chang Chen, Gregory Dayton, Shirley Kwan",Happy Together,1997
Cy Endfield,,"Stanley Baker, Jack Hawkins, Ulla Jacobsson, James Booth, Michael Caine",Zulu,1964
Krzysztof Kieslowski,,"Irène Jacob, Wladyslaw Kowalski, Halina Gryglaszewska, Kalina Jedrusik, Aleksander Bardini",The Double Life of Véronique,1991
Wolfgang Becker,,"Daniel Brühl, Katrin Sass, Chulpan Khamatova, Florian Lukas, Maria Simon",Good Bye Lenin!,2003
Jeong-beom Lee,,"Won Bin, Kim Sae-ron, Kim Tae-hoon, Kim Hee-won, Kim Sung-oh",The Man from Nowhere,2010
Hayao Miyazaki,,"Shûichirô Moriyama, Tokiko Katô, Bunshi Katsura Vi, Tsunehiko Kamijô, Akemi Okamura",Porco Rosso,1992
"Michael Powell, Emeric Pressburger",,"Deborah Kerr, David Farrar, Flora Robson, Jenny Laird, Judith Furse",Black Narcissus,1947
Aneesh Chaganty,,"John Cho, Debra Messing, Joseph Lee, Michelle La, Sara Sohn",Searching,2018
Denis Villeneuve,,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal, Victor Garber",Sicario,2015
Matt Reeves,,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee, Jason Clarke",Dawn of the Planet of the Apes,2014
Richard Donner,,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan, Tom Atkins",Lethal Weapon,1987
Matthew Vaughn,,"Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen, Bimbo Hart",Stardust,2007
Martin Scorsese,,"Griffin Dunne, Rosanna Arquette, Verna Bloom, Tommy Chong, Linda Fiorentino",After Hours,1985
John Lee Hancock,,"Quinton Aaron, Sandra Bullock, Tim McGraw, Jae Head, Lily Collins",The Blind Side,2009
Matthew Vaughn,,"Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown, Evan Peters",Kick-Ass,2010
Zack Snyder,,"Gerard Butler, Lena Headey, David Wenham, Dominic West, Vincent Regan",300,2006
James Wan,,"Cary Elwes, Leigh Whannell, Danny Glover, Ken Leung, Dina Meyer",Saw,2004
Bennett Miller,,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman, Chris Pratt",Moneyball,2011
George Lucas,,"Hayden Christensen, Natalie Portman, Ewan McGregor, Samuel L. Jackson, Ian McDiarmid",Star Wars: Episode III - Revenge of the Sith,2005
Zack Snyder,,"Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman, Billy Crudup",Watchmen,2009
David Leitch,,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz",Deadpool 2,2018
Alfred Hitchcock,,"Rod Taylor, Tippi Hedren, Jessica Tandy, Suzanne Pleshette, Veronica Cartwright",The Birds,1963
James Gunn,,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper",Guardians of the Galaxy Vol. 2,2017
Greg Mottola,,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader, Seth Rogen",Superbad,2007
"Ron Clements, John Musker, Don Hall",,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison, Jemaine Clement",Moana,2016
Daniel Monzón,,"Luis Tosar, Alberto Ammann, Antonio Resines, Manuel Morón, Carlos Bardem",Celda 211,2009
Scott Hicks,,"Geoffrey Rush, Armin Mueller-Stahl, Justin Braine, Sonia Todd, Chris Haywood",Shine,1996
James Whale,,"Claude Rains, Gloria Stuart, William Harrigan, Henry Travers, Una O'Connor",The Invisible Man,1933
Mike Judge,,"Ron Livingston, Jennifer Aniston, David Herman, Ajay Naidu, Diedrich Bader",Office Space,1999
Georges Franju,,"Pierre Brasseur, Alida Valli, Juliette Mayniel, Alexandre Rignault, Béatrice Altariba",Eyes Without a Face,1960
Anton Corbijn,,"Sam Riley, Samantha Morton, Craig Parkinson, Alexandra Maria Lara, Joe Anderson",Control,2007
Joseph Sargent,,"Walter Matthau, Robert Shaw, Martin Balsam, Hector Elizondo, Earl Hindman",The Taking of Pelham One Two Three,1974
Alejandro G. Iñárritu,,"Sean Penn, Benicio Del Toro, Naomi Watts, Danny Huston, Carly Nahon",21 Grams,2003
Stephen Frears,,"Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham, Barbara Jefford",Philomena,2013
Fred Zinnemann,,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed, Frank Sinatra",From Here to Eternity,1953
Clint Eastwood,,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak, Jim Haynie",The Bridges of Madison County,1995
Paul Greengrass,,"David Alan Basche, Olivia Thirlby, Liza Colón-Zayas, J.J. Johnson, Gary Commock",United 93,2006
Jonathan Levine,,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston",50/50,2011
Spike Lee,,"Edward Norton, Barry Pepper, Philip Seymour Hoffman, Rosario Dawson, Anna Paquin",25th Hour,2002
Jean-Pierre Jeunet,,"Audrey Tautou, Gaspard Ulliel, Jodie Foster, Dominique Pinon, Chantal Neuwirth",A Very Long Engagement,2004
"Joel Coen, Ethan Coen",,"John Turturro, John Goodman, Judy Davis, Michael Lerner, John Mahoney",Barton Fink,1991
Jessie Nelson,,"Sean Penn, Michelle Pfeiffer, Dakota Fanning, Dianne Wiest, Loretta Devine",I Am Sam,2001
Gabriele Muccino,,"Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy, Barry Pepper",Seven Pounds,2008
Hayao Miyazaki,,"Cate Blanchett, Matt Damon, Liam Neeson, Tomoko Yamaguchi, Kazushige Nagashima",Ponyo,2008
"William Cottrell, David Hand, Wilfred Jackson",,"Adriana Caselotti, Harry Stockwell, Lucille La Verne, Roy Atwell, Stuart Buchanan",Snow White and the Seven Dwarfs,1937
John McTiernan,,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene, Colleen Camp",Die Hard with a Vengeance,1995
Billy Wilder,,"Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden, John Williams",Sabrina,1954
Kevin Macdonald,,"James McAvoy, Forest Whitaker, Gillian Anderson, Kerry Washington, Simon McBurney",The Last King of Scotland,2006
Todd Haynes,,"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman, Bill Camp",Dark Waters,2019
"Michael Rianda, Jeff Rowe",,"Abbi Jacobson, Danny McBride, Maya Rudolph, Michael Rianda, Eric André",The Mitchells vs the Machines,2021
David Zucker,,"Leslie Nielsen, Priscilla Presley, O.J. Simpson, Ricardo Montalban, George Kennedy",The Naked Gun: From the Files of Police Squad!,1988
Pedro Almodóvar,,"Antonio Banderas, Elena Anaya, Jan Cornet, Marisa Paredes, Roberto Álamo",The Skin I Live In,2011
Woody Allen,,"Scarlett Johansson, Jonathan Rhys Meyers, Emily Mortimer, Matthew Goode, Alexander Armstrong",Match Point,2005
Wolfgang Reitherman,,"Phil Harris, Sebastian Cabot, Louis Prima, Bruce Reitherman, George Sanders",The Jungle Book,1967
Robert Clouse,,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri, Kien Shih",Enter the Dragon,1973
Wes Anderson,,"Jason Schwartzman, Bill Murray, Olivia Williams, Seymour Cassel, Brian Cox",Rushmore,1998
Nicholas Ray,,"James Dean, Natalie Wood, Sal Mineo, Jim Backus, Ann Doran",Rebel Without a Cause,1955
"Jemaine Clement, Taika Waititi",,"Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, Jonny Brugh, Stu Rutherford",What We Do in the Shadows,2014
"Ethan Coen, Joel Coen",,"Jeff Bridges, Matt Damon, Hailee Steinfeld, Josh Brolin, Barry Pepper",True Grit,2010
George Miller,,"Mel Gibson, Bruce Spence, Michael Preston, Max Phipps, Vernon Wells",The Road Warrior,1981
David Cronenberg,,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl, Josef Altin, Mina E. Mina",Eastern Promises,2007
Alex Proyas,,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly, William Hurt, Richard O'Brien",Dark City,1998
Gareth Evans,,"Iko Uwais, Ananda George, Ray Sahetapy, Donny Alamsyah, Joe Taslim",The Raid: Redemption,2011
David Ayer,,"Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera, Natalie Martinez",End of Watch,2012
Ben Affleck,,"Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan, John Ashton",Gone Baby Gone,2007
"Pierre Coffin, Chris Renaud",,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews, Will Arnett",Despicable Me,2010
Wes Anderson,,"Gene Hackman, Gwyneth Paltrow, Anjelica Huston, Ben Stiller, Luke Wilson",The Royal Tenenbaums,2001
Steven Spielberg,,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow, Steve Harris",Minority Report,2002
"Tony Bancroft, Barry Cook",,"Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer, Harvey Fierstein",Mulan,1998
"Mark Osborne, John Stevenson",,"Jack Black, Ian McShane, Angelina Jolie, Dustin Hoffman, Jackie Chan",Kung Fu Panda,2008
Paul Verhoeven,,"Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox, Kurtwood Smith",RoboCop,1987
David Cronenberg,,"Jeff Goldblum, Geena Davis, John Getz, Joy Boushel, Leslie Carlson",The Fly,1986
David Mackenzie,,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham, Dale Dickey",Hell or High Water,2016
Terrence Malick,,"Jim Caviezel, Sean Penn, Nick Nolte, Kirk Acevedo, Penelope Allen",The Thin Red Line,1998
Bradley Cooper,,"Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg, Andrew Dice Clay",A Star Is Born,2018
Luc Besson,,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm, Chris Tucker",The Fifth Element,1997
"Eric Bress, J. Mackye Gruber",,"Ashton Kutcher, Amy Smart, Melora Walters, Elden Henson, William Lee Scott",The Butterfly Effect,2004
Jonathan Lynn,,"Joe Pesci, Marisa Tomei, Ralph Macchio, Mitchell Whitfield, Fred Gwynne",My Cousin Vinny,1992
Alejandro Amenábar,,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan, Alakina Mann, James Bentley",The Others,2001
