director,genre,stars,title,year
Michael Mann,,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore",Heat,1995
Joseph Kosinski,,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer, Bashir Salahuddin",Top Gun: Maverick,2022
Jeethu Joseph,,"Mohanlal, Meena, Ansiba, Esther Anil, Siddique",Drishyam 2,2021
Shoojit Sircar,,"Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar, Banita Sandhu",Sardar Udham,2021
Vetrimaaran,,"Dhanush, Manju Warrier, Prakash Raj, Pasupathy, Pavan",Asuran,2019
Charles Chaplin,,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell",The Great Dictator,1940
Billy Wilder,,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams",Witness for the Prosecution,1957
Stanley Kubrick,,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, Wayne Morris",Paths of Glory,1957
Wolfgang Petersen,,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch, Martin Semmelrogge",Das Boot,1981
Akira Kurosawa,,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai, Kyôko Kagawa, Tatsuya Mihashi",High and Low,1963
M. Night Shyamalan,,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams, Trevor Morgan",The Sixth Sense,1999
Quentin Tarantino,,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen, Lucy Liu",Kill Bill: Vol. 1,2003
Peter Weir,,"Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich, Natascha McElhone",The Truman Show,1998
Billy Wilder,,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark",Sunset Blvd.,1950
John Carpenter,,"Kurt Russell, Wilford Brimley, Keith David, Richard Masur, T.K. Carter",The Thing,1982
Martin Scorsese,,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley, Max von Sydow",Shutter Island,2010
Peter Farrelly,,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco, Dimiter D. Marinov",Green Book,2018
"Ethan Coen, Joel Coen",,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson, Kelly Macdonald",No Country for Old Men,2007
Martin Scorsese,,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks, Diahnne Abbott",Taxi Driver,1976
Jon Watts,,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau",Spider-Man: No Way Home,2021
Martin Scorsese,,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler",The Wolf of Wall Street,2013
Chad Stahelski,,"Keanu Reeves, Laurence Fishburne, George Georgiou, Lance Reddick, Clancy Brown",John Wick: Chapter 4,2023
Steven Spielberg,,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck",Jurassic Park,1993
Nitesh Tiwari,,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Babbar, Tahir Raj Bhasin",Chhichhore,2019
